codProposicao,nomeProposicao,dataVotacao
271219,PL 4529/2004,09/07/2013
302638,PL 6025/2005,05/11/2013
334331,PL 7495/2006,23/10/2013
343930,PL 323/2007,10/07/2013
343930,PL 323/2007,10/07/2013
347880,PL 708/2007,02/04/2013
483808,PL 7663/2010,22/05/2013
483808,PL 7663/2010,22/05/2013
537784,PL 3471/2012,24/09/2013
556261,PL 4470/2012,17/04/2013
556261,PL 4470/2012,17/04/2013
556261,PL 4470/2012,17/04/2013
556261,PL 4470/2012,17/04/2013
556261,PL 4470/2012,17/04/2013
556261,PL 4470/2012,17/04/2013
556261,PL 4470/2012,17/04/2013
556261,PL 4470/2012,23/04/2013
564113,PL 4904/2012,20/03/2013
564113,PL 4904/2012,11/04/2013
586411,PL 6053/2013,01/10/2013
592935,PL 6397/2013,01/10/2013
592935,PL 6397/2013,02/10/2013
592935,PL 6397/2013,15/10/2013
592935,PL 6397/2013,16/10/2013
592935,PL 6397/2013,16/10/2013
592935,PL 6397/2013,16/10/2013
592935,PL 6397/2013,22/10/2013
592935,PL 6397/2013,22/10/2013
19319,PL 3232/1992,10/06/2014
302638,PL 6025/2005,04/02/2014
302638,PL 6025/2005,11/02/2014
490116,PL 8035/2010,03/06/2014
552295,PL 4246/2012,29/04/2014
600255,PL 6738/2013,26/03/2014
601914,PL 6809/2013,26/03/2014
619150,PL 7735/2014,17/12/2014
18180,PL 2479/2000,20/08/2015
18216,PL 2505/2000,23/04/2015
267841,PL 4330/2004,08/04/2015
267841,PL 4330/2004,08/04/2015
267841,PL 4330/2004,14/04/2015
267841,PL 4330/2004,22/04/2015
267841,PL 4330/2004,22/04/2015
270277,PL 4474/2004,24/09/2015
339407,PL 7699/2006,05/03/2015
348730,PL 789/2007,25/03/2015
351362,PL 1057/2007,26/08/2015
372066,PL 2211/2007,25/02/2015
388449,PL 3131/2008,26/03/2015
412728,PL 4148/2008,25/03/2015
412728,PL 4148/2008,28/04/2015
537900,PL 3481/2012,31/03/2015
537900,PL 3481/2012,31/03/2015
542838,PL 3771/2012,10/03/2015
552295,PL 4246/2012,11/02/2015
580148,PL 5735/2013,14/07/2015
580148,PL 5735/2013,14/07/2015
580148,PL 5735/2013,14/07/2015
580148,PL 5735/2013,14/07/2015
580148,PL 5735/2013,14/07/2015
580148,PL 5735/2013,14/07/2015
580148,PL 5735/2013,09/09/2015
580148,PL 5735/2013,09/09/2015
580148,PL 5735/2013,09/09/2015
580148,PL 5735/2013,09/09/2015
593856,PL 6446/2013,20/10/2015
593856,PL 6446/2013,20/10/2015
593856,PL 6446/2013,20/10/2015
613662,PL 7469/2014,17/03/2015
613662,PL 7469/2014,18/03/2015
619150,PL 7735/2014,10/02/2015
619150,PL 7735/2014,27/04/2015
619150,PL 7735/2014,27/04/2015
622072,PL 7924/2014,10/03/2015
944251,PL 10/2015,20/08/2015
1049380,PL 846/2015,26/03/2015
1050643,PL 863/2015,25/06/2015
1050643,PL 863/2015,25/06/2015
1050643,PL 863/2015,25/06/2015
1050643,PL 863/2015,25/06/2015
1050643,PL 863/2015,25/06/2015
1050643,PL 863/2015,25/06/2015
1050643,PL 863/2015,25/06/2015
1050643,PL 863/2015,25/06/2015
1050643,PL 863/2015,25/06/2015
1050643,PL 863/2015,25/06/2015
1514014,PL 2016/2015,12/08/2015
1514136,PL 2020/2015,04/08/2015
1673126,PL 2750/2015,22/10/2015
1715687,PL 2960/2015,28/10/2015
1715687,PL 2960/2015,04/11/2015
1715687,PL 2960/2015,04/11/2015
1715687,PL 2960/2015,11/11/2015
1715687,PL 2960/2015,11/11/2015
1715687,PL 2960/2015,11/11/2015
1715687,PL 2960/2015,11/11/2015
552197,PL 4238/2012,29/11/2016
1594910,PL 2516/2015,06/12/2016
2078295,PL 4567/2016,05/10/2016
2078295,PL 4567/2016,05/10/2016
2078295,PL 4567/2016,05/10/2016
2078295,PL 4567/2016,05/10/2016
2078295,PL 4567/2016,24/10/2016
2078295,PL 4567/2016,24/10/2016
2078295,PL 4567/2016,24/10/2016
2078295,PL 4567/2016,09/11/2016
18467,PL 2671/1989,28/11/2017
20794,PL 4302/1998,22/03/2017
20794,PL 4302/1998,22/03/2017
20794,PL 4302/1998,22/03/2017
20794,PL 4302/1998,22/03/2017
150629,PL 2862/2004,07/11/2017
150629,PL 2862/2004,07/11/2017
537672,PL 3468/2012,09/11/2017
2024315,PL 3376/2015,16/08/2017
2088280,PL 5587/2016,04/04/2017
2088280,PL 5587/2016,04/04/2017
2118402,PL 6568/2016,15/02/2017
2122076,PL 6787/2016,26/04/2017
2122076,PL 6787/2016,26/04/2017
2122076,PL 6787/2016,26/04/2017
2122076,PL 6787/2016,26/04/2017
2122076,PL 6787/2016,26/04/2017
2122076,PL 6787/2016,26/04/2017
2122076,PL 6787/2016,27/04/2017
2122076,PL 6787/2016,27/04/2017
2122076,PL 6787/2016,27/04/2017
2129185,PL 7391/2017,12/12/2017
2129185,PL 7391/2017,12/12/2017
2129185,PL 7391/2017,12/12/2017
2151995,PL 8612/2017,04/10/2017
2151995,PL 8612/2017,05/10/2017
2153100,PL 8703/2017,04/10/2017
2153100,PL 8703/2017,04/10/2017
2156331,PL 8843/2017,18/10/2017
2156331,PL 8843/2017,18/10/2017
2156331,PL 8843/2017,18/10/2017
2164134,PL 9247/2017,06/12/2017
15318,PL 333/1999,21/03/2018
15318,PL 333/1999,27/03/2018
15318,PL 333/1999,27/03/2018
16713,PL 1428/1999,20/06/2018
16713,PL 1428/1999,20/06/2018
109150,PL 595/2003,13/03/2018
353631,PL 1202/2007,04/04/2018
353631,PL 1202/2007,04/04/2018
542102,PL 3734/2012,10/04/2018
542102,PL 3734/2012,10/04/2018
542102,PL 3734/2012,10/04/2018
542102,PL 3734/2012,11/04/2018
542102,PL 3734/2012,11/04/2018
542102,PL 3734/2012,11/04/2018
542102,PL 3734/2012,11/04/2018
542102,PL 3734/2012,11/04/2018
542102,PL 3734/2012,11/04/2018
542102,PL 3734/2012,11/04/2018
542102,PL 3734/2012,11/04/2018
604888,PL 7005/2013,06/03/2018
1214970,PL 1220/2015,06/06/2018
1214970,PL 1220/2015,06/06/2018
2088280,PL 5587/2016,28/02/2018
2088280,PL 5587/2016,28/02/2018
2158425,PL 8939/2017,19/06/2018
2158425,PL 8939/2017,19/06/2018
2158425,PL 8939/2017,19/06/2018
2158425,PL 8939/2017,19/06/2018
2158425,PL 8939/2017,19/06/2018
2158425,PL 8939/2017,20/06/2018
2158425,PL 8939/2017,20/06/2018
2158425,PL 8939/2017,20/06/2018
2158425,PL 8939/2017,20/06/2018
2158425,PL 8939/2017,20/06/2018
2158425,PL 8939/2017,20/06/2018
2158425,PL 8939/2017,20/06/2018
2158425,PL 8939/2017,04/07/2018
2158425,PL 8939/2017,04/07/2018
2158425,PL 8939/2017,04/07/2018
2166092,PL 9327/2017,06/06/2018
2177451,PL 10332/2018,04/07/2018
2177451,PL 10332/2018,04/07/2018
2177451,PL 10332/2018,04/07/2018
2177451,PL 10332/2018,04/07/2018
2177451,PL 10332/2018,04/07/2018
2177451,PL 10332/2018,04/07/2018
2177451,PL 10332/2018,04/07/2018
2177451,PL 10332/2018,10/07/2018
2177451,PL 10332/2018,10/07/2018
2177451,PL 10332/2018,10/07/2018
2177451,PL 10332/2018,10/07/2018
2177451,PL 10332/2018,10/07/2018
16526,PL 1292/1995,17/06/2019
16526,PL 1292/1995,17/06/2019
16526,PL 1292/1995,11/09/2019
16526,PL 1292/1995,11/09/2019
16526,PL 1292/1995,11/09/2019
16526,PL 1292/1995,11/09/2019
16526,PL 1292/1995,17/09/2019
28692,PL 4742/2001,12/03/2019
28692,PL 4742/2001,12/03/2019
358126,PL 1481/2007,09/12/2019
358126,PL 1481/2007,09/12/2019
2075448,PL 4067/2015,26/11/2019
2082511,PL 5082/2016,27/11/2019
2136580,PL 7596/2017,14/08/2019
2147241,PL 8240/2017,09/07/2019
2147241,PL 8240/2017,09/07/2019
2147241,PL 8240/2017,09/07/2019
2147241,PL 8240/2017,09/07/2019
2147241,PL 8240/2017,09/07/2019
2147241,PL 8240/2017,09/07/2019
2147241,PL 8240/2017,20/08/2019
2147241,PL 8240/2017,20/08/2019
2147241,PL 8240/2017,20/08/2019
2178170,PL 10372/2018,04/12/2019
2178170,PL 10372/2018,04/12/2019
2179189,PL 10431/2018,12/02/2019
2179189,PL 10431/2018,12/02/2019
2186621,PL 10985/2018,26/06/2019
2186621,PL 10985/2018,26/06/2019
2186621,PL 10985/2018,26/06/2019
2187087,PL 5029/2019 (Nº Anterior: PL 11021/2018),18/09/2019
2187087,PL 5029/2019 (Nº Anterior: PL 11021/2018),18/09/2019
2187087,PL 5029/2019 (Nº Anterior: PL 11021/2018),18/09/2019
2187087,PL 5029/2019 (Nº Anterior: PL 11021/2018),18/09/2019
2187087,PL 5029/2019 (Nº Anterior: PL 11021/2018),18/09/2019
2187087,PL 5029/2019 (Nº Anterior: PL 11021/2018),18/09/2019
2187087,PL 5029/2019 (Nº Anterior: PL 11021/2018),18/09/2019
2187087,PL 5029/2019 (Nº Anterior: PL 11021/2018),18/09/2019
2187087,PL 5029/2019 (Nº Anterior: PL 11021/2018),18/09/2019
2187087,PL 5029/2019 (Nº Anterior: PL 11021/2018),18/09/2019
2187087,PL 5029/2019 (Nº Anterior: PL 11021/2018),18/09/2019
2187087,PL 5029/2019 (Nº Anterior: PL 11021/2018),18/09/2019
2187087,PL 5029/2019 (Nº Anterior: PL 11021/2018),18/09/2019
2193540,PL 1321/2019,02/04/2019
2193540,PL 1321/2019,24/04/2019
2201529,PL 2787/2019,25/06/2019
2201532,PL 2788/2019,25/06/2019
2201532,PL 2788/2019,25/06/2019
2204056,PL 2999/2019,27/08/2019
2204056,PL 2999/2019,27/08/2019
2204056,PL 2999/2019,27/08/2019
2204056,PL 2999/2019,03/09/2019
2204056,PL 2999/2019,03/09/2019
2204056,PL 2999/2019,03/09/2019
2207613,PL 3261/2019,11/12/2019
2207613,PL 3261/2019,11/12/2019
2207613,PL 3261/2019,11/12/2019
2207613,PL 3261/2019,11/12/2019
2207613,PL 3261/2019,11/12/2019
2207613,PL 3261/2019,11/12/2019
2207613,PL 3261/2019,11/12/2019
2207613,PL 3261/2019,11/12/2019
2207613,PL 3261/2019,11/12/2019
2207613,PL 3261/2019,17/12/2019
2207613,PL 3261/2019,17/12/2019
2207613,PL 3261/2019,17/12/2019
2207613,PL 3261/2019,17/12/2019
2207613,PL 3261/2019,17/12/2019
2207613,PL 3261/2019,17/12/2019
2209381,PL 3723/2019,29/10/2019
2209381,PL 3723/2019,30/10/2019
2209381,PL 3723/2019,05/11/2019
2209381,PL 3723/2019,05/11/2019
2209381,PL 3723/2019,05/11/2019
2209381,PL 3723/2019,05/11/2019
2210523,PL 3715/2019,21/08/2019
2210523,PL 3715/2019,21/08/2019
2210523,PL 3715/2019,21/08/2019
2210523,PL 3715/2019,21/08/2019
2210523,PL 3715/2019,21/08/2019
2210523,PL 3715/2019,21/08/2019
2210523,PL 3715/2019,21/08/2019
2210523,PL 3715/2019,21/08/2019
2210523,PL 3715/2019,21/08/2019
2212362,PL 4121/2019,02/10/2019
2213200,PL 4162/2019,11/12/2019
2213200,PL 4162/2019,11/12/2019
2213200,PL 4162/2019,11/12/2019
2213200,PL 4162/2019,11/12/2019
2213200,PL 4162/2019,11/12/2019
2218250,PL 4805/2019,27/11/2019
2227917,PL 5815/2019,04/12/2019
2227917,PL 5815/2019,04/12/2019
2227917,PL 5815/2019,04/12/2019
18156,PL 2462/1991,04/05/2021
18156,PL 2462/1991,04/05/2021
18156,PL 2462/1991,04/05/2021
18156,PL 2462/1991,04/05/2021
18156,PL 2462/1991,04/05/2021
257161,PL 3729/2004,12/05/2021
257161,PL 3729/2004,12/05/2021
257161,PL 3729/2004,12/05/2021
257161,PL 3729/2004,12/05/2021
257161,PL 3729/2004,12/05/2021
257161,PL 3729/2004,12/05/2021
257161,PL 3729/2004,12/05/2021
257161,PL 3729/2004,12/05/2021
257161,PL 3729/2004,13/05/2021
257161,PL 3729/2004,13/05/2021
257161,PL 3729/2004,13/05/2021
257161,PL 3729/2004,13/05/2021
257161,PL 3729/2004,13/05/2021
257161,PL 3729/2004,13/05/2021
257161,PL 3729/2004,13/05/2021
257161,PL 3729/2004,13/05/2021
257161,PL 3729/2004,13/05/2021
257161,PL 3729/2004,13/05/2021
298943,PL 5851/2005,26/10/2021
498347,PL 886/2021 (Nº Anterior: PL 1023/2011),06/05/2021
1594917,PL 2522/2015,12/08/2021
2149785,PL 8420/2017,30/06/2021
2184326,PL 10880/2018,09/11/2021
2184326,PL 10880/2018,09/11/2021
2184458,PL 2505/2021 (Nº Anterior: pl 10887/2018),05/10/2021
2184458,PL 2505/2021 (Nº Anterior: pl 10887/2018),05/10/2021
2184458,PL 2505/2021 (Nº Anterior: pl 10887/2018),05/10/2021
2184458,PL 2505/2021 (Nº Anterior: pl 10887/2018),06/10/2021
2184973,PL 10920/2018,29/06/2021
2184973,PL 10920/2018,29/06/2021
2184973,PL 10920/2018,29/06/2021
2184973,PL 10920/2018,29/06/2021
2184973,PL 10920/2018,29/06/2021
2190265,PL 11276/2018,28/10/2021
2190730,PL 226/2019,01/07/2021
2194646,PL 1605/2019,27/10/2021
2194646,PL 1605/2019,27/10/2021
2194646,PL 1605/2019,27/10/2021
2196355,PL 1933/2019,13/07/2021
2199215,PL 2510/2019,25/08/2021
2199215,PL 2510/2019,25/08/2021
2199215,PL 2510/2019,25/08/2021
2199215,PL 2510/2019,25/08/2021
2199215,PL 2510/2019,26/08/2021
2199215,PL 2510/2019,26/08/2021
2199215,PL 2510/2019,26/08/2021
2199215,PL 2510/2019,26/08/2021
2199215,PL 2510/2019,26/08/2021
2199215,PL 2510/2019,26/08/2021
2199215,PL 2510/2019,08/12/2021
2207429,PL 3430/2019,08/06/2021
2228151,PL 5829/2019,18/08/2021
2228151,PL 5829/2019,18/08/2021
2234707,PL 6537/2019,23/11/2021
2236340,PL 21/2020,29/09/2021
2236340,PL 21/2020,29/09/2021
2236340,PL 21/2020,29/09/2021
2236340,PL 21/2020,29/09/2021
2236340,PL 21/2020,29/09/2021
2236607,PL 130/2020,28/09/2021
2241695,PL 827/2020,18/05/2021
2241695,PL 827/2020,14/07/2021
2243079,PL 1561/2020,05/05/2021
2251961,PL 2474/2020,31/03/2021
2251961,PL 2474/2020,31/03/2021
2252589,PL 2633/2020,03/08/2021
2252589,PL 2633/2020,03/08/2021
2252589,PL 2633/2020,03/08/2021
2252589,PL 2633/2020,03/08/2021
2252589,PL 2633/2020,03/08/2021
2252589,PL 2633/2020,03/08/2021
2252589,PL 2633/2020,03/08/2021
2252589,PL 2633/2020,03/08/2021
2252589,PL 2633/2020,03/08/2021
2252589,PL 2633/2020,03/08/2021
2252589,PL 2633/2020,03/08/2021
2252589,PL 2633/2020,03/08/2021
2252589,PL 2633/2020,03/08/2021
2252589,PL 2633/2020,03/08/2021
2252649,PL 2646/2020,07/07/2021
2252939,PL 2750/2020,05/10/2021
2252939,PL 2750/2020,05/10/2021
2252939,PL 2750/2020,05/10/2021
2252939,PL 2750/2020,05/10/2021
2252939,PL 2750/2020,05/10/2021
2252939,PL 2750/2020,05/10/2021
2255149,PL 3292/2020,06/05/2021
2255149,PL 3292/2020,06/05/2021
2255149,PL 3292/2020,06/05/2021
2255149,PL 3292/2020,06/05/2021
2255149,PL 3292/2020,06/05/2021
2255149,PL 3292/2020,06/05/2021
2255149,PL 3292/2020,06/05/2021
2255149,PL 3292/2020,06/05/2021
2255149,PL 3292/2020,06/05/2021
2255149,PL 3292/2020,06/05/2021
2255149,PL 3292/2020,06/05/2021
2255149,PL 3292/2020,06/05/2021
2255199,PL 3320/2020,07/10/2021
2255608,PL 6330/2019,01/07/2021
2260433,PL 4199/2020,15/12/2021
2260433,PL 4199/2020,15/12/2021
2260433,PL 4199/2020,15/12/2021
2260433,PL 4199/2020,15/12/2021
2260458,PL 4206/2020,19/08/2021
2260458,PL 4206/2020,19/08/2021
2263290,PL 4710/2020,01/07/2021
2263290,PL 4710/2020,01/07/2021
2265123,PL 3877/2020,22/06/2021
2266116,PL 5391/2020,19/08/2021
2266116,PL 5391/2020,19/08/2021
2266116,PL 5391/2020,19/08/2021
2266116,PL 5391/2020,19/08/2021
2266146,PL 4384/2020,22/06/2021
2267745,PL 5595/2020,20/04/2021
2267745,PL 5595/2020,20/04/2021
2267745,PL 5595/2020,20/04/2021
2267745,PL 5595/2020,20/04/2021
2267745,PL 5595/2020,20/04/2021
2267745,PL 5595/2020,20/04/2021
2267745,PL 5595/2020,20/04/2021
2267745,PL 5595/2020,20/04/2021
2267745,PL 5595/2020,20/04/2021
2268069,PL 3819/2020,15/12/2021
2268069,PL 3819/2020,15/12/2021
2268069,PL 3819/2020,15/12/2021
2270403,PL 486/2021,01/09/2021
2270894,PL 591/2021,05/08/2021
2270894,PL 591/2021,05/08/2021
2270894,PL 591/2021,05/08/2021
2270894,PL 591/2021,05/08/2021
2270894,PL 591/2021,05/08/2021
2270894,PL 591/2021,05/08/2021
2270894,PL 591/2021,05/08/2021
2270894,PL 591/2021,05/08/2021
2270894,PL 591/2021,05/08/2021
2270894,PL 591/2021,05/08/2021
2270894,PL 591/2021,05/08/2021
2270894,PL 591/2021,05/08/2021
2270894,PL 591/2021,05/08/2021
2270894,PL 591/2021,05/08/2021
2270894,PL 591/2021,05/08/2021
2273453,PL 813/2021,21/09/2021
2273453,PL 813/2021,21/09/2021
2273453,PL 813/2021,21/09/2021
2273453,PL 813/2021,21/09/2021
2273453,PL 813/2021,21/09/2021
2273453,PL 813/2021,21/09/2021
